city,time,temperature_c,apparent_temperature_c,humidity_pct,windspeed_kmh,precipitation_mm,cloudcover_pct
Tallahassee,2026-04-09T00:00,16.6,12.5,33,13.7,0.0,79
Tallahassee,2026-04-09T01:00,14.5,11.2,59,17.1,0.0,50
Tallahassee,2026-04-09T02:00,14.5,10.6,56,19.6,0.0,0
Tallahassee,2026-04-09T03:00,14.5,10.9,60,18.9,0.0,100
Tallahassee,2026-04-09T04:00,15.2,11.3,52,18.7,0.0,100
Tallahassee,2026-04-09T05:00,14.1,10.5,58,17.4,0.0,78
Tallahassee,2026-04-09T06:00,13.6,10.7,65,14.5,0.0,36
Tallahassee,2026-04-09T07:00,13.6,10.8,64,13.8,0.0,50
Tallahassee,2026-04-09T08:00,13.9,10.7,62,15.8,0.0,37
Tallahassee,2026-04-09T09:00,15.0,11.8,64,18.6,0.0,34
Tallahassee,2026-04-09T10:00,16.8,13.9,66,20.2,0.0,3
Tallahassee,2026-04-09T11:00,19.2,17.5,65,19.7,0.0,4
Tallahassee,2026-04-09T12:00,20.9,20.5,59,17.3,0.0,1
Tallahassee,2026-04-09T13:00,22.7,23.0,56,18.3,0.0,2
Tallahassee,2026-04-09T14:00,23.7,23.9,49,18.7,0.0,3
Tallahassee,2026-04-09T15:00,24.9,24.7,44,18.4,0.0,25
Tallahassee,2026-04-09T16:00,25.2,24.7,44,17.3,0.0,13
Tallahassee,2026-04-09T17:00,25.1,23.8,43,16.9,0.0,12
Tallahassee,2026-04-09T18:00,23.8,22.2,49,16.1,0.0,3
Tallahassee,2026-04-09T19:00,23.2,22.1,49,12.0,0.0,0
Tallahassee,2026-04-09T20:00,21.8,19.6,47,14.8,0.0,0
Tallahassee,2026-04-09T21:00,20.5,19.0,47,8.6,0.0,0
Tallahassee,2026-04-09T22:00,18.8,17.1,54,10.5,0.0,0
Tallahassee,2026-04-09T23:00,18.1,16.0,58,13.4,0.0,0
Tallahassee,2026-04-10T00:00,17.2,15.0,58,13.0,0.0,0
Tallahassee,2026-04-10T01:00,16.3,14.2,61,12.0,0.0,0
Tallahassee,2026-04-10T02:00,15.4,13.0,60,12.2,0.0,0
Tallahassee,2026-04-10T03:00,14.7,12.3,63,12.3,0.0,0
Tallahassee,2026-04-10T04:00,14.2,12.1,69,11.4,0.0,0
Tallahassee,2026-04-10T05:00,13.8,11.7,76,13.2,0.0,0
Tallahassee,2026-04-10T06:00,13.5,11.8,83,13.3,0.0,1
Tallahassee,2026-04-10T07:00,13.3,11.7,87,12.9,0.0,2
Tallahassee,2026-04-10T08:00,13.9,12.5,87,13.0,0.0,2
Tallahassee,2026-04-10T09:00,16.5,15.0,77,15.0,0.0,1
Tallahassee,2026-04-10T10:00,19.0,17.9,68,14.3,0.0,2
Tallahassee,2026-04-10T11:00,21.6,21.1,59,14.2,0.0,5
Tallahassee,2026-04-10T12:00,23.6,23.9,51,13.8,0.0,15
Tallahassee,2026-04-10T13:00,24.9,25.8,46,13.6,0.0,26
Tallahassee,2026-04-10T14:00,26.0,26.8,40,13.2,0.0,12
Tallahassee,2026-04-10T15:00,26.7,26.9,38,14.5,0.0,30
Tallahassee,2026-04-10T16:00,27.2,27.2,36,12.9,0.0,100
Tallahassee,2026-04-10T17:00,27.3,26.4,34,11.9,0.0,79
Tallahassee,2026-04-10T18:00,26.9,24.7,31,12.5,0.0,100
Tallahassee,2026-04-10T19:00,26.3,23.7,28,10.9,0.0,100
Tallahassee,2026-04-10T20:00,23.6,21.7,32,6.4,0.0,100
Tallahassee,2026-04-10T21:00,22.1,20.0,36,8.0,0.0,100
Tallahassee,2026-04-10T22:00,20.6,18.6,41,8.2,0.0,100
Tallahassee,2026-04-10T23:00,19.6,17.9,44,5.9,0.0,100
Tallahassee,2026-04-11T00:00,18.5,16.7,51,9.0,0.0,100
Tallahassee,2026-04-11T01:00,17.4,16.9,62,4.0,0.0,100
